"CODICE RDS";"DESCRIZIONE";;"N.ORDINE RDS";"ANNO ";"RIGA ORDINE";"CODICE CLIENTE ";"CLIENTE";"UM";"Q.TA'ORDINATA";"Q.TA RESIDUA";"DATA CONSEGNA";"VALORE";"DEPOSITO";"CODICE CLIENTE";"N.ORD.CLIENTE";"CONSEGNA RICHIESTA";
"A200760";"PIASTRINA RIARMO SBLOCCO CUBIC";"_6 2826 <720>";"A0000363";2018;7;8005061;"FAST SRL";"PZ";1000;1000;06/07/2018;345;1;22826;619;" ";" "
"A200770";"BASE SBLOCCO A CHIAVE CUBIC 6";"2827 <720>";"A0000363";2018;3;8005061;"FAST SRL";"PZ";1000;1000;14/06/2018;1440;1;22827;619;08/06/2018;" "
"A200770";"BASE SBLOCCO A CHIAVE CUBIC 6";"2827 <720>";"A0000363";2018;8;8005061;"FAST SRL";"PZ";1000;1000;06/07/2018;1440;1;22827;619;" ";" "
"A200780";"COPERCHIO SBLOCCO A CHIAVE CUB";"IC 6 2828 <720>";"A0000363";2018;4;8005061;"FAST SRL";"PZ";1000;1000;14/06/2018;1420;1;22828;619;08/06/2018;" "
"A200780";"COPERCHIO SBLOCCO A CHIAVE CUB";"IC 6 2828 <720>";"A0000363";2018;9;8005061;"FAST SRL";"PZ";1000;1000;06/07/2018;1420;1;22828;619;" ";" "
"A200790";"PIATTO PORTA MOLLA SBLOCCO CUB";"IC 6 2833 <720>";"A0000363";2018;5;8005061;"FAST SRL";"PZ";1000;1000;14/06/2018;556;1;22833;619;08/06/2018;" "
"A200790";"PIATTO PORTA MOLLA SBLOCCO CUB";"IC 6 2833 <720>";"A0000363";2018;10;8005061;"FAST SRL";"PZ";1000;1000;06/07/2018;556;1;22833;619;" ";" "
"A201801";"CALOTTA  MOTORIDUTTORE <192>";"119E924";"S0000067";2018;22;8004303;"CAME SPA";"PZ";300;300;01/09/2018;500.7;1;"119E924";"PROGRAMMA";" ";" "
"A201910";"FLANGIA INFERIORE S285";"<705>";"S0000053";2018;53;8004303;"CAME SPA";"PZ";400;400;01/06/2018;791.2;1;"119GS285";"PROGRAMMA";" ";" "
"A202101";"FLANGIA ATT.MOTORE 119G533";901647;"A0000274";2018;2;8004704;"IME Industria Motori Elettrici";"PZ";6000;6000;07/09/2018;6504;1;"DIS.533-CUS0003";110751;02/09/2018;" "
"A202201";"FLANGIA DI TRASCINAMENTO <248>";" ";"S0000053";2018;49;8004303;"CAME SPA";"PZ";3900;3900;01/06/2018;1992.9;1;"119G535";"PROGRAMMA";" ";" "
"A202201";"FLANGIA DI TRASCINAMENTO <248>";" ";"A0000446";2018;2;8004303;"CAME SPA";"PZ";1950;779;19/06/2018;398.07;1;"119G535";5120045650;" ";" "
"A202201";"FLANGIA DI TRASCINAMENTO <248>";" ";"S0000065";2018;33;8004303;"CAME SPA";"PZ";3900;3900;01/07/2018;1992.9;1;"119G535";"PROGRAMMA";" ";" "
"A202201";"FLANGIA DI TRASCINAMENTO <248>";" ";"S0000066";2018;25;8004303;"CAME SPA";"PZ";1950;1950;01/08/2018;996.45;1;"119G535";"PROGRAMMA";" ";" "
"A202201";"FLANGIA DI TRASCINAMENTO <248>";" ";"S0000067";2018;31;8004303;"CAME SPA";"PZ";1950;1950;01/09/2018;996.45;1;"119G535";"PROGRAMMA";" ";" "
"A202304";"CALOTTA ** NON IMPREGNATA C/FO";"RO  M215C <27103>";"A0000448";2018;1;8003778;"MOVIMOTOR S.R.L.";"PZ";900;900;13/07/2018;1152.9;1;"46700800 CSP0031";"708-";05/07/2018;" "
"A202304";"CALOTTA ** NON IMPREGNATA C/FO";"RO  M215C <27103>901646";"A0000274";2018;1;8004704;"IME Industria Motori Elettrici";"PZ";5000;5000;07/09/2018;5965;1;"46700800 CSP0031";110751;02/09/2018;" "
"A202305";"FLANGIA NON IMPREGNATA M214B**";"<27103>";"A0000448";2018;2;8003778;"MOVIMOTOR S.R.L.";"PZ";900;900;13/07/2018;1107.9;1;46700700;"708-";05/07/2018;" "
"A203401";"REGGIMENSOLA ALL.  <45>";" ";"A0000212";2018;1;8004905;"DE ROSSO SRL";"PZ";1000;1000;27/04/2018;1600;1;55001032;164;03/04/2018;" "
"A214201";"CALOTTA ANTERIORE APERTA D.125";"ALTA  <356>";"A0000140";2018;1;8004718;"ALBA PUMPS DI Cecchinato";"PZ";4000;3784;06/06/2018;4362.95;1;" ";"MZ003/18";" ";" "
"A214202";"CALOTTA POSTERIORE APER. D.125";"_ALTA  <356>";"A0000140";2018;2;8004718;"ALBA PUMPS DI Cecchinato";"PZ";4000;3784;06/06/2018;4362.95;1;" ";"MZ003/18";" ";" "
"A214601";"CALOTTA INFERIORE BYE**  <334>";" ";"A0000341";2018;1;8004303;"CAME SPA";"PZ";2880;362;07/05/2018;232.4;1;"119B289";5120044734;" ";" "
"A214601";"CALOTTA INFERIORE BYE**  <334>";" ";"S0000053";2018;1;8004303;"CAME SPA";"PZ";5760;5760;01/06/2018;3697.92;1;"119B289";"PROGRAMMA";" ";" "
"A214601";"CALOTTA INFERIORE BYE**  <334>";" ";"A0000458";2018;2;8004303;"CAME SPA";"PZ";2880;1440;18/06/2018;924.48;1;"119B289";5120045728;" ";" "
"A214601";"CALOTTA INFERIORE BYE**  <334>";" ";"S0000065";2018;1;8004303;"CAME SPA";"PZ";5760;5760;01/07/2018;3697.92;1;"119B289";"PROGRAMMA";" ";" "
