"CODICE RDS";"DESCRIZIONE";;"N.ORDINE RDS";"ANNO ";"RIGA ORDINE";"CODICE CLIENTE ";"CLIENTE";"UM";"Q.TA'ORDINATA";"Q.TA RESIDUA";"DATA CONSEGNA";"VALORE";"DEPOSITO";"CODICE CLIENTE";"N.ORD.CLIENTE";"CONSEGNA RICHIESTA";
"A237690";"CALOTTA POSTER.MEC71 DA110";"3172-1 REV.B C/TORR.POSTER.FIX";"A0000284";2018;2;8003223;"LGB Elettropompe S.R.L.";"PZ";4000;3901;05/06/2018;3120.8;1;"3172-1 REV.B";25331;" ";" "
"A237690";"CALOTTA POSTER.MEC71 DA110";"3172-1 REV.B C/TORR.POSTER.FIX";"A0000380";2018;2;8003223;"LGB Elettropompe S.R.L.";"PZ";2000;2000;06/07/2018;1600;1;"3172-1 REV.B";25558;" ";" "
"A237700";"CALOTTA ANTERIORE MEC71 DA110";"ANNO 2016 COD. 2262-1 REV.A";"A0000284";2018;1;8003223;"LGB Elettropompe S.R.L.";"PZ";4000;2568;05/06/2018;2208.48;1;"2262-1 REV.B";25331;" ";" "
"A237700";"CALOTTA ANTERIORE MEC71 DA110";"ANNO 2016 COD. 2262-1 REV.B";"A0000380";2018;1;8003223;"LGB Elettropompe S.R.L.";"PZ";2000;2000;06/07/2018;1720;1;"2262-1 REV.B";25558;" ";" "
"A237820";"SUPPORTO ""PCF-200""";"<831>";"A0000421";2018;2;8004691;"JTC  SRL";"PZ";350;350;10/07/2018;915.25;1;40200500;161;" ";" "
"A237850";"BRACCIO MOTORE VERS. PERNO cod";". MD BR-MOT <859>";"A0000054";2018;4;8004806;"KING GATES SRL";"PZ";1000;1000;09/05/2018;4831;1;"MD BR-MOT-VE-GR";164532;02/05/2018;" "
"A237870";"GUSCIO INFERIORE MODUS";"MD GU-INF-VE-GR    <860>";"A0000054";2018;8;8004806;"KING GATES SRL";"PZ";500;500;06/07/2018;3794;1;"MD GU-INF-VE-GR";164532;" ";" "
"A237870";"GUSCIO INFERIORE MODUS";"MD GU-INF-VE-GR    <860>";"A0000054";2018;9;8004806;"KING GATES SRL";"PZ";250;250;05/09/2018;1897;1;"MD GU-INF-VE-GR";164532;" ";" "
"A237870";"GUSCIO INFERIORE MODUS";"MD GU-INF-VE-GR    <860>";"A0000054";2018;10;8004806;"KING GATES SRL";"PZ";500;500;05/10/2018;3794;1;"MD GU-INF-VE-GR";164532;" ";" "
"A237870";"GUSCIO INFERIORE MODUS";"MD GU-INF-VE-GR    <860>";"A0000429";2018;1;8004806;"KING GATES SRL";"PZ";500;500;05/10/2018;3879;1;"MD GU-INF-VE-GR";165065;" ";" "
"A237870";"GUSCIO INFERIORE MODUS";"MD GU-INF-VE-GR    <860>";"A0000429";2018;2;8004806;"KING GATES SRL";"PZ";500;500;05/12/2018;3879;1;"MD GU-INF-VE-GR";165065;" ";" "
"A237871";"GUSCIO SUPERIORE MODUS";"MD GU-SUP <86001>";"A0000054";2018;7;8004806;"KING GATES SRL";"PZ";500;48;08/06/2018;307.63;1;"MD GU-SUP";164532;01/06/2018;" "
"A237871";"GUSCIO SUPERIORE MODUS";"MD GU-SUP <86001>";"A0000429";2018;3;8004806;"KING GATES SRL";"PZ";500;500;05/10/2018;3295.5;1;"MD GU-SUP";165065;01/10/2018;" "
"A237871";"GUSCIO SUPERIORE MODUS";"MD GU-SUP <86001>";"A0000429";2018;4;8004806;"KING GATES SRL";"PZ";500;500;05/12/2018;3295.5;1;"MD GU-SUP";165065;01/12/2018;" "
"A282500";"COPERCHIO BOB.BAE 961     cod.";"0715773100V6  <758>";"A0000470";2018;1;8005026;"FEDERAL-MOGUL POWERTRAIN";"PZ";2000;2000;20/07/2018;3516;1;"0715773100V6";164124;" ";" "
"A283300";"CASSA WR75/86 P80/90 B5";"<825>";"A0000248";2018;2;8004521;"BONFIGLIOLI RIDUTTORI SPA";"PZ";420;420;04/07/2018;3708.6;1;612303103;"6995698SANTI";" ";" "
"A283300";"CASSA WR75/86 P80/90 B5";"<825>";"A0000106";2018;3;8004521;"BONFIGLIOLI RIDUTTORI SPA";"PZ";140;140;12/07/2018;1236.2;1;612303103;"6973051VANTI";" ";" "
"A283300";"CASSA WR75/86 P80/90 B5";"<825>";"A0000459";2018;1;8004521;"BONFIGLIOLI RIDUTTORI SPA";"PZ";420;420;28/08/2018;3750.6;1;612303103;7028590;" ";" "
"A283300";"CASSA WR75/86 P80/90 B5";"<825>";"A0000247";2018;1;8004521;"BONFIGLIOLI RIDUTTORI SPA";"PZ";560;560;21/09/2018;4944.8;1;612303103;"6996914VANTI";" ";" "
"A283300";"CASSA WR75/86 P80/90 B5";"<825>";"A0000247";2018;2;8004521;"BONFIGLIOLI RIDUTTORI SPA";"PZ";560;560;07/11/2018;4944.8;1;612303103;"6996914VANTI";" ";" "
"A283430";"BRACCIO ATTACCO RADIATORE";"SINTESI DA 30 ""RIFIN"" <834>";"A0000462";2018;3;9010740;"IRROM INDUSTRIE  srl";"PZ";10000;10000;13/07/2018;3060;1;"ATTBRACCET430";4500106776;11/07/2018;" "
"A283440";"ATTACCO RADIATORE SINTESI DA";"30 ""RIFIN"" <834>";"A0000462";2018;2;9010740;"IRROM INDUSTRIE  srl";"PZ";10000;10000;13/07/2018;5910;1;"ATTRADTONDO30";4500106776;11/07/2018;" "
"A283450";"ATTACCO A MURO BASSO ""RIFIN""";"<835>";"A0000462";2018;1;9010740;"IRROM INDUSTRIE  srl";"PZ";10000;10000;13/07/2018;3720;1;"ATTBIC023GR";4500106776;11/07/2018;" "
"A283460";"CARTER RIDUTTOREcod.3BL386<848";"Verniciato";"A0001021";2017;4;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";500;500;06/07/2018;3750;1;"/30330050";"A73090";03/07/2018;" "
"A283480";"FLANGIA COD. 3BL390.1 <847>";"verniciato";"A0001021";2017;5;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";500;500;06/07/2018;1275;1;"/30330100";"A73090";03/07/2018;" "
"A283490";"MORSETTO SINTESI DIAM.30";"BIANCO -RIFIN-";"A0000376";2018;1;9010740;"IRROM INDUSTRIE  srl";"PZ";10000;10000;25/06/2018;13700;1;"ATTCHE43001";4500103538;" ";" "
"A283490";"MORSETTO SINTESI DIAM.30";"BIANCO -RIFIN-";"A0000463";2018;1;9010740;"IRROM INDUSTRIE  srl";"PZ";10000;10000;27/07/2018;13700;1;"ATTCHE43001";4500106775;" ";" "
"A283510";"COP. SCATOLA MOTORE S1 24 CRE";"5050743A <837>";"A0000066";2018;1;8004724;"WINDOW AUTOMATION INDUSTRY srl";"PZ";4000;1118;26/03/2018;2129.79;1;"5050743A";"W013751";" ";" "
"A283520";"SCATOLA MOTORID. S1 20/230 CRE";"5050748A <838>";"A0000066";2018;2;8004724;"WINDOW AUTOMATION INDUSTRY srl";"PZ";4000;799;26/03/2018;1848.09;1;"5050748A";"W013751";" ";" "
"A283650";"BRACC. CENTR. SPONDA RIBALTA <";"851>";"A0000404";2018;1;8004645;"MALVESTIO SPA";"PZ";1200;1200;06/07/2018;6018;1;820163;2869;" ";" "
"A283660";"CALOTTA MOTORE dis. T322 <858>";"CL10108";"A0000423";2018;1;8005069;"EL-MI SRL";"PZ";3000;3000;05/09/2018;2277;1;"119DT322/CL10108";773;" ";" "
"A283671";"SEMIGUSCIO SUPERIORE VERNICIAT";"DIS.T175  <857>";"S0000053";2018;27;8004303;"CAME SPA";"PZ";1600;1600;01/06/2018;3587.2;1;"119DT175";"PROGRAMMA";" ";" "
"A283671";"SEMIGUSCIO SUPERIORE VERNICIAT";"DIS.T175  <857>";"A0000388";2018;9;8004303;"CAME SPA";"PZ";480;480;12/06/2018;1076.16;1;"119DT175";5120045210;" ";" "
"A283671";"SEMIGUSCIO SUPERIORE VERNICIAT";"DIS.T175  <857>";"A0000388";2018;10;8004303;"CAME SPA";"PZ";480;480;12/06/2018;1076.16;1;"119DT175";5120045210;" ";" "
"A283671";"SEMIGUSCIO SUPERIORE VERNICIAT";"DIS.T175  <857>";"A0000388";2018;8;8004303;"CAME SPA";"PZ";480;480;14/06/2018;1076.16;1;"119DT175";5120045210;" ";" "
"A283671";"SEMIGUSCIO SUPERIORE VERNICIAT";"DIS.T175  <857>";"A0000399";2018;2;8004303;"CAME SPA";"PZ";480;480;20/06/2018;1076.16;1;"119DT175";5120045267;" ";" "
"A283671";"SEMIGUSCIO SUPERIORE VERNICIAT";"DIS.T175  <857>";"A0000456";2018;4;8004303;"CAME SPA";"PZ";800;800;28/06/2018;1793.6;1;"119DT175";5120045726;" ";" "
"A283681";"SEMIGUSCIO INFERIORE VERNICIAT";"DIS. T176  <857>";"A0000367";2018;3;8004303;"CAME SPA";"PZ";640;480;29/05/2018;1076.16;1;"119DT176";5120044928;" ";" "
"A283681";"SEMIGUSCIO INFERIORE VERNICIAT";"DIS. T176  <857>";"S0000053";2018;28;8004303;"CAME SPA";"PZ";1280;1280;01/06/2018;2869.76;1;"119DT176";"PROGRAMMA";" ";" "
"A283681";"SEMIGUSCIO INFERIORE VERNICIAT";"DIS. T176  <857>";"A0000388";2018;6;8004303;"CAME SPA";"PZ";640;640;12/06/2018;1434.88;1;"119DT176";5120045210;" ";" "
"A283681";"SEMIGUSCIO INFERIORE VERNICIAT";"DIS. T176  <857>";"A0000388";2018;7;8004303;"CAME SPA";"PZ";480;480;12/06/2018;1076.16;1;"119DT176";5120045210;" ";" "
"A283681";"SEMIGUSCIO INFERIORE VERNICIAT";"DIS. T176  <857>";"A0000388";2018;5;8004303;"CAME SPA";"PZ";480;480;14/06/2018;1076.16;1;"119DT176";5120045210;" ";" "
"A283681";"SEMIGUSCIO INFERIORE VERNICIAT";"DIS. T176  <857>";"A0000412";2018;1;8004303;"CAME SPA";"PZ";480;480;20/06/2018;1076.16;1;"119DT176";5120045324;" ";" "
"A283681";"SEMIGUSCIO INFERIORE VERNICIAT";"DIS. T176  <857>";"A0000456";2018;3;8004303;"CAME SPA";"PZ";800;800;28/06/2018;1793.6;1;"119DT176";5120045726;" ";" "
"A283691";"STELO SUPERIORE CORTO DIS.T177";"VERNICIATO   <85601>";"S0000053";2018;29;8004303;"CAME SPA";"PZ";1080;1080;01/06/2018;2421.36;1;"119DT177";"PROGRAMMA";" ";" "
"A283691";"STELO SUPERIORE CORTO DIS.T177";"VERNICIATO   <85601>";"A0000388";2018;4;8004303;"CAME SPA";"PZ";360;208;12/06/2018;466.34;1;"119DT177";5120045210;" ";" "
"A283691";"STELO SUPERIORE CORTO DIS.T177";"VERNICIATO   <85601>";"A0000388";2018;2;8004303;"CAME SPA";"PZ";360;360;14/06/2018;807.12;1;"119DT177";5120045210;" ";" "
"A283691";"STELO SUPERIORE CORTO DIS.T177";"VERNICIATO   <85601>";"A0000456";2018;2;8004303;"CAME SPA";"PZ";540;540;28/06/2018;1210.68;1;"119DT177";5120045726;" ";" "
"A283691";"STELO SUPERIORE CORTO DIS.T177";"VERNICIATO   <85601>";"A0000461";2018;1;8004303;"CAME SPA";"PZ";360;360;02/07/2018;807.12;1;"119DT177";5120045867;" ";" "
"A283701";"STELO INFERIORE CORTO dis.T178";"<107700> VERNICIATO";"A0000349";2018;2;8004303;"CAME SPA";"PZ";608;30;23/05/2018;67.26;1;"119DT178";5120044775;" ";" "
"A283701";"STELO INFERIORE CORTO dis.T178";"<107700> VERNICIATO";"S0000053";2018;30;8004303;"CAME SPA";"PZ";608;608;01/06/2018;1363.14;1;"119DT178";"PROGRAMMA";" ";" "
"A283701";"STELO INFERIORE CORTO dis.T178";"<107700> VERNICIATO";"A0000383";2018;1;8004303;"CAME SPA";"PZ";608;608;07/06/2018;1363.14;1;"119DT178";5120045101;" ";" "
"A283701";"STELO INFERIORE CORTO dis.T178";"<107700> VERNICIATO";"A0000388";2018;1;8004303;"CAME SPA";"PZ";608;608;12/06/2018;1363.14;1;"119DT178";5120045210;" ";" "
"A283701";"STELO INFERIORE CORTO dis.T178";"<107700> VERNICIATO";"A0000456";2018;1;8004303;"CAME SPA";"PZ";504;504;28/06/2018;1129.97;1;"119DT178";5120045726;" ";" "
"A283701";"STELO INFERIORE CORTO dis.T178";"<107700> VERNICIATO";"A0000457";2018;1;8004303;"CAME SPA";"PZ";608;608;28/06/2018;1363.14;1;"119DT178";5120045727;" ";" "
"A283711";"STELO SUPERIORE LUNGO DIS.";"T189  <856> VERNICIATO RAL9023";"S0000053";2018;35;8004303;"CAME SPA";"PZ";440;440;01/06/2018;1276;1;"119DT189";"PROGRAMMA";" ";" "
"A283711";"STELO SUPERIORE LUNGO DIS.";"T189  <856> VERNICIATO RAL9023";"A0000388";2018;16;8004303;"CAME SPA";"PZ";352;88;12/06/2018;255.2;1;"119DT189";5120045210;" ";" "
"A283711";"STELO SUPERIORE LUNGO DIS.";"T189  <856> VERNICIATO RAL9023";"A0000388";2018;14;8004303;"CAME SPA";"PZ";264;264;14/06/2018;765.6;1;"119DT189";5120045210;" ";" "
"A283711";"STELO SUPERIORE LUNGO DIS.";"T189  <856> VERNICIATO RAL9023";"A0000432";2018;1;8004303;"CAME SPA";"PZ";176;176;25/06/2018;510.4;1;"119DT189";5120045531;" ";" "
"A283711";"STELO SUPERIORE LUNGO DIS.";"T189  <856> VERNICIATO RAL9023";"A0000456";2018;6;8004303;"CAME SPA";"PZ";352;352;28/06/2018;1020.8;1;"119DT189";5120045726;" ";" "
"A283721";"STELO INFERIORE LUNGO VER.";"RAL7024 T190 <1076>";"S0000053";2018;36;8004303;"CAME SPA";"PZ";448;448;01/06/2018;1299.2;1;"119DT190";"PROGRAMMA";" ";" "
"A283721";"STELO INFERIORE LUNGO VER.";"RAL7024 T190 <1076>";"A0000388";2018;12;8004303;"CAME SPA";"PZ";224;112;12/06/2018;324.8;1;"119DT190";5120045210;" ";" "
"A283721";"STELO INFERIORE LUNGO VER.";"RAL7024 T190 <1076>";"A0000388";2018;13;8004303;"CAME SPA";"PZ";336;336;12/06/2018;974.4;1;"119DT190";5120045210;" ";" "
"A283721";"STELO INFERIORE LUNGO VER.";"RAL7024 T190 <1076>";"A0000388";2018;11;8004303;"CAME SPA";"PZ";224;224;14/06/2018;649.6;1;"119DT190";5120045210;" ";" "
"A283721";"STELO INFERIORE LUNGO VER.";"RAL7024 T190 <1076>";"A0000432";2018;2;8004303;"CAME SPA";"PZ";448;448;25/06/2018;1299.2;1;"119DT190";5120045531;" ";" "
"A283721";"STELO INFERIORE LUNGO VER.";"RAL7024 T190 <1076>";"A0000456";2018;5;8004303;"CAME SPA";"PZ";448;448;28/06/2018;1299.2;1;"119DT190";5120045726;" ";" "
"A284000";"GEHAUSE SCAQ24 Cod. 7000000419";"8503 <881>";"A0000129";2018;1;9010758;"SIEMENS AG";"PZ";5000;1640;13/06/2018;16547.6;1;4198503;2101907196;" ";" "
"A284000";"GEHAUSE SCAQ24 Cod. 7000000419";"8503 <881>";"A0000318";2018;1;9010758;"SIEMENS AG";"PZ";5000;5000;18/07/2018;49900;1;4198503;2101922210;" ";" "
"A284000";"GEHAUSE SCAQ24 Cod. 7000000419";"8503 <881>";"A0000352";2018;1;9010758;"SIEMENS AG";"PZ";2500;2500;01/08/2018;24950;1;4198503;2101925125;16/07/2018;" "
"A284000";"GEHAUSE SCAQ24 Cod. 7000000419";"8503 <881>";"A0000352";2018;2;9010758;"SIEMENS AG";"PZ";2500;2500;10/08/2018;24950;1;4198503;2101925125;16/07/2018;" "
"A284000";"GEHAUSE SCAQ24 Cod. 7000000419";"8503 <881>";"A0000424";2018;1;9010758;"SIEMENS AG";"PZ";5000;5000;31/08/2018;49900;1;4198503;2101930694;24/08/2018;" "
"A284000";"GEHAUSE SCAQ24 Cod. 7000000419";"8503 <881>";"A0000374";2018;1;9010758;"SIEMENS AG";"PZ";5000;5000;17/09/2018;49900;1;4198503;2101926279;08/08/2018;" "
"A284000";"GEHAUSE SCAQ24 Cod. 7000000419";"8503 <881>";"S0000058";2018;5;9010758;"SIEMENS AG";"PZ";5000;5000;01/10/2018;0;1;4198503;"PROGRAMMA";" ";" "
"A284000";"GEHAUSE SCAQ24 Cod. 7000000419";"8503 <881>";"S0000059";2018;6;9010758;"SIEMENS AG";"PZ";5000;5000;02/11/2018;0;1;4198503;"PROGRAMMA";" ";" "
"A284001";"GEHAUSE SCAQ25 Cod. 7000000419";"9401 <881>";"A0000478";2018;1;9010758;"SIEMENS AG";"PZ";1000;1000;03/08/2018;10910;1;4199401;2101934796;" ";" "
"A284001";"GEHAUSE SCAQ25 Cod. 7000000419";"9401 <881>";"A0000406";2018;1;9010758;"SIEMENS AG";"PZ";1000;1000;14/09/2018;10910;1;4199401;2101929433;31/08/2018;" "
"A284001";"GEHAUSE SCAQ25 Cod. 7000000419";"9401 <881>";"S0000060";2018;5;9010758;"SIEMENS AG";"PZ";1000;1000;01/12/2018;0;1;4199401;"PROGRAMMA";" ";" "
"A284120";"CARCASSA MOTORIDUTTORE Cod.";"6031A <891>";"A0000180";2018;1;8004753;"MECCANICA FADINI snc";"PZ";3000;3000;07/05/2018;44136;1;"6031A";"48/2018";16/04/2018;" "
"A284150";"MANIGLIA DI SBLOCCO MOTORIDUTT";"ORE Cod. 6034 <894>";"A0000180";2018;3;8004753;"MECCANICA FADINI snc";"PZ";4000;170;07/05/2018;188.53;1;6034;"48/2018";16/04/2018;" "
"A284170";"BLOCCHETTO VW SX LATO GUIDA";"<896>";"A0000435";2018;2;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";34048;12008;05/06/2018;9858.57;1;"168100A";"EW85865";" ";" "
"A284170";"BLOCCHETTO VW SX LATO GUIDA";"<896>";"S0000063";2018;2;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";43776;43776;01/07/2018;35940.1;1;"168100A";"PROGRAMMA";" ";" "
"A284170";"BLOCCHETTO VW SX LATO GUIDA";"<896>";"A0000176";2018;5;9010871;"FEDERAL MOGUL S.A.";"PZ";7296;7296;06/07/2018;5931.65;1;"MA1047 (168100)";61470;" ";" "
"A284170";"BLOCCHETTO VW SX LATO GUIDA";"<896>";"S0000064";2018;2;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";25536;25536;01/08/2018;20965.06;1;"168100A";"PROGRAMMA";" ";" "
"A284170";"BLOCCHETTO VW SX LATO GUIDA";"<896>";"A0000283";2018;1;9010871;"FEDERAL MOGUL S.A.";"PZ";7296;7296;07/09/2018;5931.65;1;"MA1047 (168100)";61683;" ";" "
"A284180";"BLOCCHETTO VW SX LATO PASS.";"<897>";"A0000828";2017;1;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";185;185;31/10/2017;0;1;"168101A";"537-A";" ";" "
"A284180";"BLOCCHETTO VW SX LATO PASS.";"<897>";"A0000176";2018;8;9010871;"FEDERAL MOGUL S.A.";"PZ";9400;4600;18/05/2018;3574.2;1;"MA1048  (168101)";61470;" ";" "
"A284180";"BLOCCHETTO VW SX LATO PASS.";"<897>";"A0000435";2018;3;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";44800;12400;05/06/2018;9734;1;"168101A";"EW85865";" ";" "
"A284180";"BLOCCHETTO VW SX LATO PASS.";"<897>";"A0000176";2018;9;9010871;"FEDERAL MOGUL S.A.";"PZ";9400;9400;08/06/2018;7303.8;1;"MA1048  (168101)";61470;" ";" "
"A284180";"BLOCCHETTO VW SX LATO PASS.";"<897>";"S0000063";2018;3;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";72000;72000;01/07/2018;56520;1;"168101A";"PROGRAMMA";" ";" "
"A284180";"BLOCCHETTO VW SX LATO PASS.";"<897>";"S0000064";2018;3;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";48000;48000;01/08/2018;37680;1;"168101A";"PROGRAMMA";" ";" "
"A284180";"BLOCCHETTO VW SX LATO PASS.";"<897>";"A0000283";2018;2;9010871;"FEDERAL MOGUL S.A.";"PZ";9400;9400;07/09/2018;7303.8;1;"MA1048  (168101)";61683;" ";" "
"A284211";"BLOCCHETTO SHARAN GP LHD";"<108300>SENZA MARCHIO MA10300B";"A0000505";2017;2;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";2034;2034;06/10/2017;1787.89;1;"MA10300B";"REINTEGRO";30/06/2017;" "
"A284211";"BLOCCHETTO SHARAN GP LHD";"<108300>SENZA MARCHIO MA10300B";"A0000435";2018;1;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";6864;4224;05/06/2018;3712.9;1;"MA10300B";"EW85865";" ";" "
"A284211";"BLOCCHETTO SHARAN GP LHD";"<108300>SENZA MARCHIO MA10300B";"S0000063";2018;1;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";4224;4224;01/07/2018;3712.9;1;"MA10300B";"PROGRAMMA";" ";" "
"A284211";"BLOCCHETTO SHARAN GP LHD";"<108300>SENZA MARCHIO MA10300B";"S0000064";2018;1;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";4224;4224;01/08/2018;3712.9;1;"MA10300B";"PROGRAMMA";" ";" "
"A284320";"PULEGGIA P53 SERIE 7 x rullo";"tondo  60x1,5 <910>";"A0000451";2018;1;8004789;"STAFER SPA";"PZ";1000;1000;13/07/2018;1100;1;"P04.0051.216";1021;25/06/2018;" "
"A284380";"REGGIRIPIANO NEW ALIANTE <915>";" ";"A0000453";2018;1;8004905;"DE ROSSO SRL";"PZ";1500;1500;17/07/2018;0;1;31301020;337;" ";" "
"A284380";"REGGIRIPIANO NEW ALIANTE <915>";" ";"A0000453";2018;2;8004905;"DE ROSSO SRL";"PZ";1500;1500;05/09/2018;0;1;31301020;337;" ";" "
"A284420";"BLOCCHETTO LANCIA 846 LHD";"<919> 168991A";"S0000063";2018;6;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";11088;11088;01/07/2018;8293.82;1;"168991A";"PROGRAMMA";" ";" "
"A284420";"BLOCCHETTO LANCIA 846 LHD";"<919> 168991A";"S0000064";2018;6;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";7392;7392;01/08/2018;5529.22;1;"168991A";"PROGRAMMA";" ";" "
"A284440";"FLANGE D/Z18 A140 cod. 4371546";"<921>";"A0000308";2018;1;9010758;"SIEMENS AG";"PZ";1000;1000;25/07/2018;3110;1;4371546;2101922206;" ";" "
"A284440";"FLANGE D/Z18 A140 cod. 4371546";"<921>";"S0000060";2018;3;9010758;"SIEMENS AG";"PZ";1000;1000;01/12/2018;0;1;4371546;"PROGRAMMA";" ";" "
"A284670";"SPULENTRAEGER <939>";" ";"A0000373";2018;2;8004782;"TMB SPA";"PZ";2000;1011;11/06/2018;1679.27;1;5893287;168;" ";" "
"A284670";"SPULENTRAEGER <939>";" ";"A0000373";2018;3;8004782;"TMB SPA";"PZ";2000;2000;18/06/2018;3322;1;5893287;168;" ";" "
"A284670";"SPULENTRAEGER <939>";" ";"A0000373";2018;4;8004782;"TMB SPA";"PZ";2000;2000;25/06/2018;3322;1;5893287;168;" ";" "
"A284670";"SPULENTRAEGER <939>";" ";"A0000373";2018;5;8004782;"TMB SPA";"PZ";2000;2000;02/07/2018;3322;1;5893287;168;" ";" "
"A284670";"SPULENTRAEGER <939>";" ";"A0000440";2018;1;8004782;"TMB SPA";"PZ";2000;2000;16/07/2018;3322;1;5893287;"168 5.6.2018";" ";" "
"A284670";"SPULENTRAEGER <939>";" ";"A0000440";2018;2;8004782;"TMB SPA";"PZ";2000;2000;23/07/2018;3322;1;5893287;"168 5.6.2018";" ";" "
"A284670";"SPULENTRAEGER <939>";" ";"A0000440";2018;3;8004782;"TMB SPA";"PZ";2000;2000;20/08/2018;3322;1;5893287;"168 5.6.2018";" ";" "
"A284670";"SPULENTRAEGER <939>";" ";"A0000440";2018;4;8004782;"TMB SPA";"PZ";2000;2000;27/08/2018;3322;1;5893287;"168 5.6.2018";" ";" "
"A284670";"SPULENTRAEGER <939>";" ";"A0000440";2018;5;8004782;"TMB SPA";"PZ";2000;2000;03/09/2018;3322;1;5893287;"168 5.6.2018";" ";" "
"A284690";"BLOCCHETTO FIAT 139 LHD";"NUOVA PANDA <941> 168993A";"A0000435";2018;7;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";27048;12075;05/06/2018;8681.93;1;"168993A";"EW85865";" ";" "
"A284690";"BLOCCHETTO FIAT 139 LHD";"NUOVA PANDA <941> 168993A";"S0000063";2018;7;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";34776;34776;01/07/2018;25003.94;1;"168993A";"PROGRAMMA";" ";" "
"A284690";"BLOCCHETTO FIAT 139 LHD";"NUOVA PANDA <941> 168993A";"S0000064";2018;7;8004722;"FEDERAL-MOGUL ITALY SRL";"PZ";19320;19320;01/08/2018;13891.08;1;"168993A";"PROGRAMMA";" ";" "
"A284740";"ST.CHIAVE SICUREZZA INTERBL.AL";"<944>";"A0000344";2018;1;8004799;"FANTON SPA";"PZ";2500;2500;08/06/2018;745;1;"STA70080";45009977;" ";" "
"A284900";"ENDSHIELD BS LA063 cod.4027746";"<953>";"S0000022";2018;5;9010758;"SIEMENS AG";"PZ";1000;1000;01/06/2018;4440;1;4027746;"PROGRAMMA";" ";" "
"A284900";"ENDSHIELD BS LA063 cod.4027746";"<953>";"S0000058";2018;8;9010758;"SIEMENS AG";"PZ";1000;1000;01/10/2018;0;1;4027746;"PROGRAMMA";" ";" "
"A284901";"ENDSHIELD BS LA063 6201 ZV43";"cod.4027748 <953>";"S0000023";2018;7;9010758;"SIEMENS AG";"PZ";1000;1000;01/07/2018;4931;1;4027748;"PROGRAMMA";" ";" "
"A284901";"ENDSHIELD BS LA063 6201 ZV43";"cod.4027748 <953>";"A0000314";2018;2;9010758;"SIEMENS AG";"PZ";1000;1000;11/07/2018;4920;1;4027748;2101922200;" ";" "
"A284901";"ENDSHIELD BS LA063 6201 ZV43";"cod.4027748 <953>";"S0000058";2018;9;9010758;"SIEMENS AG";"PZ";1000;1000;01/10/2018;0;1;4027748;"PROGRAMMA";" ";" "
"A284901";"ENDSHIELD BS LA063 6201 ZV43";"cod.4027748 <953>";"S0000060";2018;7;9010758;"SIEMENS AG";"PZ";1000;1000;01/12/2018;0;1;4027748;"PROGRAMMA";" ";" "
"A284910";"COVER DZ29 cod.4025957 <954>";"<954>";"S0000022";2018;4;9010758;"SIEMENS AG";"PZ";2000;2000;01/06/2018;3240;1;4025957;"PROGRAMMA";" ";" "
"A284910";"COVER DZ29 cod.4025957 <954>";"<954>";"A0000313";2018;1;9010758;"SIEMENS AG";"PZ";2000;2000;18/07/2018;3220;1;4025957;2101922201;" ";" "
"A284910";"COVER DZ29 cod.4025957 <954>";"<954>";"S0000060";2018;1;9010758;"SIEMENS AG";"PZ";2000;2000;01/12/2018;0;1;4025957;"PROGRAMMA";" ";" "
"A284920";"HOUSING COVER B29 cod.4025841";"<955>";"S0000022";2018;2;9010758;"SIEMENS AG";"PZ";2000;2000;01/06/2018;3980;1;4025841;"PROGRAMMA";" ";" "
"A284920";"HOUSING COVER B29 cod.4025841";"<955>";"A0000312";2018;2;9010758;"SIEMENS AG";"PZ";1000;1000;27/06/2018;2140;1;4025841;201922208;" ";" "
"A284920";"HOUSING COVER B29 cod.4025841";"<955>";"S0000058";2018;1;9010758;"SIEMENS AG";"PZ";1000;1000;01/10/2018;0;1;4025841;"PROGRAMMA";" ";" "
"A284930";"HOUSING DZ29 cod.4025941";"<1176> <ex93601>";"S0000022";2018;3;9010758;"SIEMENS AG";"PZ";1000;1000;01/06/2018;11820;1;4025941;"PROGRAMMA";" ";" "
"A284930";"HOUSING DZ29 cod.4025941";"<1176> <ex93601>";"S0000059";2018;7;9010758;"SIEMENS AG";"PZ";1000;1000;02/11/2018;0;1;4025941;"PROGRAMMA";" ";" "
