PARTE,ATTREZZATURA,NUM_IMPRONTE
E21320,900029505,1
E21330,900029504,1
E287080,900108000,1
E287110,900107800,1
E287060,900108200,1
E286850,900106100,2
E286860,900106100,2
E287070,900108100,1
E287090,900108000,1
E287100,900107900,1
E288200,900119700,2
E21270,900011600,1
E212800,900030400,1
E21290,900005400,2
E21310,900029503,1
E21340,900032600,1
E213402,900032600,1
E21370,900035700,1
E21380,900035800,1
E21410,900014600,1
E21420,900035600,1
E214202,900035600,1
E21440,900025800,1
E214402,900025800,1
E21450,900025700,1
E21460,900033400,2
E214602,900033400,2
E21470,900031800,1
E21480,900032000,1
E21490,900031900,1
E21500,900000700,1
E21510,900000800,6
E21520,900001800,4
E21530,900001900,4
E21540,900001000,1
E21550,900001100,1
E21560,900001500,1
E21570,900002300,1
E286600,900105600,1
E215702,900002300,1
E21580,900035900,1
E21600,900002600,1
E21610,900002500,1
E21620,900002400,1
E21630,900002700,1
E21640,900032900,1
E216402,900032900,1
E216702,900003200,1
E21720,900000300,1
E21760,900018000,1
E21770,900000900,1
E21810,900036200,1
E21820,900036100,1
E21850,900036400,1
E21860,900036300,1
E218602,900036300,1
E21900,900036600,1
E219002,900036600,1
E21920,900037100,1
E21940,900037300,1
E21950,900037400,1
E22010,900054700,1
E220102,900054700,1
E220103,900038900,1
E220104,900038900,1
E22020,900039000,1
E220202,900039000,1
E220203,900039000,1
E22030,90002110,1
E22040,900038400,1
E22050,900038300,1
E22060,900038100,1
E22070,900038000,1
E22080,900038200,1
E22100,900037800,2
E221002,90003780,2
E22110,900039500,1
E221102,90003950,1
E22150,900039800,1
E221502,900039800,1
E221503,90003980,1
E221503,90003980,1
E221504,90003980,1
E22160,900039600,1
E221602,900039600,1
E221603,90003960,1
E221604,90003960,1
E22170,900039700,1
E221702,90003970,1
E22180,900040300,2
E22190,900040200,1
E22200,900040000,1
E22210,900040100,1
E222102,900040100,1
E22220,900039900,1
E222202,900039900,1
E22230,900011500,1
E222302,900011500,1
E22240,900040400,1
E22300,900041100,1
E223002,900041100,1
E22310,900041200,2
E22320,900041300,0
E22330,900041400,0
E283730,900086200,8
E223402,90002700,0
E22350,900041600,2
E223502,900041600,1
E22360,900041700,0
E22370,90004170,1
E22380,900041900,1
E22390,900041000,0
E22400,900042000,2
E224100,900049000,4
E22410,900042100,1
E224200,900049100,1
E22450,900042300,1
E224502,900042300,3
E224503,900042300,1
E224504,900042300,1
E22460,900042500,1
E22470,900042400,2
E22480,900042600,2
E22490,900042700,2
E22510,900042900,1
E287460,900112600,4
E286530,900105300,1
E287140,900110800,1
E286930,900109100,1
E287130,900114500,1
E286930,900109500,1
E287120,900114600,2
E287120,900114500,1
E286930,90010920,1
E286930,900109300,1
E286930,90010910,1
E286930,900109200,1
E286960,90010940,1
E286960,900109400,2
E286950,90010940,1
E286950,90010920,1
E286950,900109403,2
E22520,900043000,2
E22530,900043500,2
E225302,900043500,2
E22590,900044300,2
E225902,900044300,4
E225903,900044300,1
E225904,900044300,1
E22600,900044500,1
E22620,90004510,1
E22630,900045100,1
E22690,900045700,1
E22700,900045800,1
E22710,900045600,1
E227102,900045600,1
E22720,900046300,1
E22780,900047100,2
E22790,900046400,1
E22800,900045900,1
E22810,900046000,2
E22820,900047500,1
E228202,900047500,1
E22830,900047600,1
E22850,900047700,2
E22860,900047800,8
E228602,900047800,1
E287290,900109500,1
E228703,900047900,2
E22880,900048000,4
E229000,900048400,2
E229100,900048500,6
E229200,900048600,1
E229700,900049300,1
E229900,90004980,1
E22990,90004980,1
E230000,900049700,1
E230100,900049800,1
E230200,90002540,2
E230300,90004970,1
E230400,900049400,2
E230500,900049500,4
E230700,900050200,1
E230900,900050300,1
E231000,900050400,1
E231100,900050500,1
E231400,900046800,1
E231700,900059000,1
E231710,900059100,1
E231720,900059100,1
E231910,900068400,1
E23191,90006840,1
E20870,900008000,1
E20970,900026200,1
E209702,900026200,1
E20980,900032700,1
E21030,900000400,1
E21040,900012100,2
E21050,900000600,1
E210502,900000600,1
E210502,90000060,1
E200110,900068200,1
E200120,900068200,1
E200130,900068300,1
E200140,900068300,2
E200150,900068300,1
E200160,900068500,1
E200180,900068800,1
E200220,900068900,1
E200230,90006890,1
E286780,900106800,1
E236540,900063700,0
E236560,900063900,1
E23656,900063900,1
E236570,900064000,1
E236580,900064100,0
E23658,90006410,1
E236590,900064200,0
E236600,900064200,0
E236610,900064300,0
E236620,900064300,0
E236630,900064300,0
E236660,900064600,1
E236670,900064700,2
E23667,90006470,2
E236690,900064900,0
E23669,90006490,0
E236700,900065000,1
E284270,900090600,2
E284280,900090600,2
E284300,900090800,2
E284310,900090900,1
E284320,900091000,2
E284330,900091100,1
E284340,900091200,1
E284350,900091300,1
E28436,90009140,1
E284370,900091500,1
E284380,900091500,1
E284390,900091600,1
E284400,900091700,1
E284410,900091800,1
E284420,900091900,6
E284430,900092000,2
E284440,900092100,1
E286980,900109900,1
E235500,900055800,2
E287770,900113500,1
E236710,900065100,1
E23671,90006510,1
E236720,900065102,0
E236740,900065106,0
E236750,900065200,1
E23675,900065200,1
E236752,900065200,1
E236760,900065300,2
E236770,900065400,0
E236780,900065400,0
E286090,900102500,1
E288250,900120600,2
E284450,900092200,1
E28445,90009220,1
E284460,900092300,1
E284470,900092400,1
E284480,900092500,4
E284490,900092600,1
E284500,900092700,1
E284510,90009280,1
E284510,900092802,1
E28452,90009280,1
E284522,900092802,1
E284530,900092900,6
E28453,90009290,6
E284550,900093100,6
E285580,900099000,1
E236790,900065400,0
E236800,900065400,0
E236880,900066100,1
E236890,900066200,1
E236900,900066000,1
E236910,900066000,1
E284590,900093300,1
E284600,900093400,2
E284610,900117200,2
E284620,900093500,1
E284630,900093500,1
E284640,900093600,1
E284650,900093700,1
E284670,900093900,2
E284680,900094000,4
