^PRODOTTO^|^DESCRIZIONE^|^COD_CICLO^|^FASE^|^OPERAZIONE^|^CL.MACCHINE^|^CL.OPERATORI LAV.^|^CL.OPERATORI ATTR.^|^ATTREZZATURA^|^T.ATTR.MACCHINA^|^T.ATTR.UOMO^|^T.LAV.MACCHINA^|^T.LAV.UOMO^|^NOTE FASE^|^TERZISTA^|^GG.LAV.EST.^|^DIRECTORY FILE DISEGNO^|^NOME FILE DISEGNO^|^N.OPER.LAV.^|^N.OPER.ATTR.^|^GG.POSTICIPO^|^SCHED.CAP.ILLIM.^|^T.ATTRAVERSAMENTO^|^NUM.IMPRONTE^|^N.RIGA^|^RIGA TESTO FASE^
^E200220^|^CHAT 130_165 INSERTO LONGARONE _ grezzo <689>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900068900|9000000|9000000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|1|^ ^|^ ^
^E200220^|^CHAT 130_165 INSERTO LONGARONE _ grezzo <689>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900068900|12000000|12000000|58000|20000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|1|^ ^|^ ^
^E200230^|^CHAT 130_165 INSERTO GAMBA grezzo <689>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900068901|9000000|9000000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|1|^ ^|^ ^
^E200230^|^CHAT 130_165 INSERTO GAMBA grezzo <689>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900068901|12000000|12000000|58000|20000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|1|^ ^|^ ^
^E200240^|^CORPO VALVOLA DA 1' POLLICE grezzo <690>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900069000|9000000|9000000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|1|^ ^|^ ^
^E200240^|^CORPO VALVOLA DA 1' POLLICE grezzo <690>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900069000|12000000|12000000|100000|35000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|1|^ ^|^ ^
^E200250^|^CORPO VALVOLA DA 3/4' POLLICE grezzo <690>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900069000|9000000|9000000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|1|^ ^|^ ^
^E200250^|^CORPO VALVOLA DA 3/4' POLLICE grezzo <690>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900069000|12000000|12000000|100000|35000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|1|^ ^|^ ^
^E200260^|^CORPO VALVOLA DA 1/2' POLLICE grezzo <690>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900069000|9000000|9000000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|1|^ ^|^ ^
^E200260^|^CORPO VALVOLA DA 1/2' POLLICE grezzo <690>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900069000|12000000|12000000|100000|35000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|1|^ ^|^ ^
^E200270^|^BRACCIOLO NUOVO TRAX grezzo <691>^|^ ^|10|^ALPREP^|^A1000^|^ ^|^FOA^|900069100|9000000|9000000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|1|^ ^|^ ^
^E200270^|^BRACCIOLO NUOVO TRAX grezzo <691>^|^ ^|40|^ALAUT^|^A1000^|^FOG^|^FOA^|900069100|4000000|4000000|92000|32000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|1|^ ^|^ ^
^E200280^|^CASSA MOTORIDUTTORE L404 grezzo <692>^|^ ^|10|^ALPREP^|^A1000^|^ ^|^FOA^|900069200|9000000|9000000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|1|^ ^|^ ^
^E200280^|^CASSA MOTORIDUTTORE L404 grezzo <692>^|^ ^|40|^ALAUT^|^A1000^|^FOG^|^FOA^|900069200|4000000|4000000|83000|29000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|1|^ ^|^ ^
^E200330^|^AM5 CRV BASE grezzo <696>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900069600|9000000|9000000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|1|^ ^|^ ^
